File Path,Classification
AugmentedAlzheimerDataset\MildDemented\00046ff7-0fae-4796-9a2b-2df47095bfe6.jpg,milddemented
AugmentedAlzheimerDataset\MildDemented\000cdcc4-3e54-4034-a538-203c8047b564.jpg,milddemented
AugmentedAlzheimerDataset\MildDemented\0013ad52-8398-4892-9fde-060eb1ae956d.jpg,milddemented
AugmentedAlzheimerDataset\MildDemented\0015bdfc-2059-4195-8eff-9c5cf2e2c025.jpg,milddemented
AugmentedAlzheimerDataset\MildDemented\001f15e8-6ad4-4e7a-bc36-b62b984dad69.jpg,milddemented
AugmentedAlzheimerDataset\MildDemented\001f89e3-8207-4ee4-80d7-711c2acd191a.jpg,milddemented
AugmentedAlzheimerDataset\MildDemented\002cb9c1-b160-4c76-b7e4-5fb2f1b527f7.jpg,milddemented
AugmentedAlzheimerDataset\MildDemented\0033c404-4e68-438d-8312-ba5ba0100d46.jpg,milddemented
AugmentedAlzheimerDataset\MildDemented\00372fb8-22c8-4a67-8b10-564caed780fa.jpg,milddemented
AugmentedAlzheimerDataset\MildDemented\00387cfa-b6ce-4eb0-8cc5-9273080c8187.jpg,milddemented
AugmentedAlzheimerDataset\MildDemented\0045bd98-26c5-4bda-b718-8b7ec672f7d6.jpg,milddemented
AugmentedAlzheimerDataset\MildDemented\004dd801-1100-4d89-985d-ef65a22eabab.jpg,milddemented
AugmentedAlzheimerDataset\MildDemented\005a7126-fce8-4bed-be23-d219d300c802.jpg,milddemented
AugmentedAlzheimerDataset\MildDemented\005ae91b-8de3-488f-9429-bc3561a4e74b.jpg,milddemented
AugmentedAlzheimerDataset\MildDemented\005b6ab6-55f3-426a-a25c-4588182d5c62.jpg,milddemented
AugmentedAlzheimerDataset\MildDemented\005e1f97-a264-4abc-9471-420e144946aa.jpg,milddemented
AugmentedAlzheimerDataset\MildDemented\00745f1c-727e-4af8-b822-53db70b42b16.jpg,milddemented
AugmentedAlzheimerDataset\MildDemented\0076e21b-81ce-43fd-abd0-a52224ef1fa4.jpg,milddemented
AugmentedAlzheimerDataset\MildDemented\00a03a9d-f709-4516-8a50-7d39c8329d37.jpg,milddemented
AugmentedAlzheimerDataset\MildDemented\00a59d3a-8d10-4e10-b5ce-1373a4e89189.jpg,milddemented
